"auth.msbt.msbt/AuthCommon_FooterBack","{empty}"
"auth.msbt.msbt/AuthCommon_FooterChangeStick","{bytes:0E|00|00|00|02|00|02|00|4B|00}(Mantingueu){bytes:0E|00|00|00|02|00|02|00|64|00} Canvia a l’entrada amb les palanques"
"auth.msbt.msbt/AuthCommon_FooterChangeTenKey","{bytes:0E|00|00|00|02|00|02|00|4B|00}(Mantingueu){bytes:0E|00|00|00|02|00|02|00|64|00} Canvia a l’entrada numèrica"
"auth.msbt.msbt/AuthCommon_FooterClose","Tanca"
"auth.msbt.msbt/AuthCommon_FooterDecide","Introdueix"
"auth.msbt.msbt/AuthCommon_FooterErase","Suprimeix un caràcter"
"auth.msbt.msbt/AuthCommon_FooterHelp","Ajuda"
"auth.msbt.msbt/AuthNumChk_DlgBodyStick","Ara podeu elegir introduir el PIN del control parental fent servir les palanques de control.{bytes:0E|00|01|00|00|00|04|00|9A|99|99|3E}
・{bytes:0E|00|01|00|06|00|00|00}Les palanques de control us permetran introduir números més ràpidament.{bytes:0F|00|01|00|06|00}
・{bytes:0E|00|01|00|06|00|00|00}Si feu servir les palanques de control, els altres no podran veure els números que seleccioneu a la pantalla.{bytes:0F|00|01|00|06|00}{bytes:0E|00|01|00|00|00|04|00|9A|99|19|3F}
{bytes:0E|00|01|00|03|00|02|00|03|CD}{bytes:0E|00|00|00|02|00|02|00|4B|00}Podeu mantenir premut {bytes:0E|00|02|00|00|00|04|00|00|00|00|00} per a canviar a l’entrada numèrica i introduir el PIN com abans.{bytes:0E|00|00|00|02|00|02|00|64|00}{bytes:0F|00|01|00|03|00}"
"auth.msbt.msbt/AuthNumChk_DlgBodyTenKey","Vigileu que qui tingueu al voltant no vegi la pantalla si elegiu introduir el PIN fent servir l’entrada numèrica.
{bytes:0E|00|01|00|03|00|02|00|03|CD}{bytes:0E|00|00|00|02|00|02|00|4B|00}Si feu servir la consola al televisor, podeu treure-la de l’acoblador per a introduir el PIN sense que es vegi al televisor.{bytes:0E|00|00|00|02|00|02|00|64|00}{bytes:0F|00|01|00|03|00}"
"auth.msbt.msbt/AuthNumChk_DlgBodyTenKey_H","Vigileu que qui tingueu al voltant no vegi la pantalla si elegiu introduir el PIN fent servir l’entrada numèrica."
"auth.msbt.msbt/AuthNumChk_ForgetPass_Header","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideChild_Body","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideChild_Exception","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideChildLock_Desciption","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideChildLock_Header","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideChildLock_MoonDescription","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideChildLock_MoonDetails","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideSup_Body","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideSup_BodySub","{empty}"
"auth.msbt.msbt/AuthNumChk_GuideSup_OK","{empty}"
"auth.msbt.msbt/AuthNumChk_Help_Desciption","Si introduïu el PIN del control parental, es desactivarà temporalment el control parental fins que la consola entri en mode d’espera o fins que torneu a activar el control parental.{bytes:0E|00|01|00|00|00|04|00|9A|99|99|3E}
Totes les funcionalitats que podrien estar restringides pel control parental estaran disponibles:
・{bytes:0E|00|01|00|06|00|00|00}Es permetrà l’ús de qualsevol programa.{bytes:0F|00|01|00|06|00}
・{bytes:0E|00|01|00|06|00|00|00}Es podran publicar captures de pantalla i vídeos a les xarxes socials.{bytes:0F|00|01|00|06|00}
・{bytes:0E|00|01|00|06|00|00|00}No es restringirà la comunicació amb altres usuaris.{bytes:0F|00|01|00|06|00}
・{bytes:0E|00|01|00|06|00|00|00}Es podrà jugar en mode RV.{bytes:0F|00|01|00|06|00}
・{bytes:0E|00|01|00|06|00|00|00}Es desactivarà qualsevol temporitzador de joc definit a l’aplicació Control parental de la Nintendo Switch.{bytes:0F|00|01|00|06|00}{bytes:0E|00|01|00|00|00|04|00|9A|99|19|3F}
{bytes:0E|00|01|00|03|00|02|00|00|CD}{bytes:0E|00|00|00|02|00|02|00|50|00}◆ {bytes:0E|00|01|00|06|00|00|00}Com que es desactivaran totes les restriccions del control parental, vigileu el vostre infant mentre jugui amb la Nintendo Switch.{bytes:0F|00|01|00|06|00}{bytes:0E|00|00|00|02|00|02|00|64|00}{bytes:0F|00|01|00|03|00}"
"auth.msbt.msbt/AuthNumChk_Help_Desciption_T","{empty}"
"auth.msbt.msbt/AuthNumChk_Help_Header","Ajuda"
"auth.msbt.msbt/AuthNumChk_Help_HeaderCheck","Com puc comprovar el PIN?"
"auth.msbt.msbt/AuthNumChk_Help_HeaderForget","He oblidat el PIN"
"auth.msbt.msbt/AuthNumChk_Help_HeaderOff","Desactivació temporal del control parental"
"auth.msbt.msbt/AuthNumChk_Help_Master","Introdueix la clau mestra"
